cohort_month,month_number,retained_customers
2020-01,0,241
2020-01,1,6
2020-01,2,3
2020-01,3,10
2020-01,4,5
2020-01,5,10
2020-01,6,8
2020-01,7,5
2020-01,8,6
2020-01,9,10
2020-01,10,5
2020-01,11,4
2020-01,12,13
2020-01,13,3
2020-01,14,4
2020-01,15,8
2020-01,16,9
2020-01,17,5
2020-01,18,6
2020-01,19,4
2020-01,20,8
2020-01,21,9
2020-01,22,6
2020-01,23,7
2020-01,24,9
2020-01,25,5
2020-01,26,4
2020-01,27,12
2020-01,28,5
2020-01,29,3
2020-01,30,7
2020-01,31,7
2020-01,32,6
2020-01,33,6
2020-01,34,4
2020-01,35,6
2020-01,36,9
2020-01,37,7
2020-01,38,5
2020-01,39,7
2020-01,40,8
2020-01,41,5
2020-01,42,7
2020-01,43,6
2020-01,44,5
2020-01,45,4
2020-01,46,6
2020-01,47,4
2020-01,48,4
2020-01,49,8
2020-01,50,3
2020-01,51,8
2020-01,52,6
2020-01,53,7
2020-01,54,7
2020-01,55,3
2020-01,56,5
2020-01,57,4
2020-01,58,4
2020-01,59,3
2020-01,60,7
2020-01,61,2
2020-01,62,6
2020-01,63,3
2020-02,0,228
2020-02,1,5
2020-02,2,8
2020-02,3,4
2020-02,4,6
2020-02,5,7
2020-02,6,8
2020-02,7,8
2020-02,8,8
2020-02,9,1
2020-02,10,6
2020-02,11,8
2020-02,12,7
2020-02,13,6
2020-02,14,5
2020-02,15,3
2020-02,16,6
2020-02,17,5
2020-02,18,6
2020-02,19,4
2020-02,20,8
2020-02,21,4
2020-02,22,5
2020-02,23,5
2020-02,24,4
2020-02,25,4
2020-02,26,6
2020-02,27,7
2020-02,28,8
2020-02,29,9
2020-02,30,9
2020-02,31,5
2020-02,32,8
2020-02,33,4
2020-02,34,7
2020-02,35,6
2020-02,36,5
2020-02,37,3
2020-02,38,8
2020-02,39,5
2020-02,40,2
2020-02,41,10
2020-02,42,5
2020-02,43,4
2020-02,44,7
2020-02,45,6
2020-02,46,5
2020-02,47,3
2020-02,48,4
2020-02,49,6
2020-02,50,6
2020-02,51,7
2020-02,52,5
2020-02,53,2
2020-02,54,6
2020-02,55,7
2020-02,56,10
2020-02,57,6
2020-02,58,6
2020-02,59,3
2020-02,60,7
2020-02,61,8
2020-02,62,6
2020-03,0,207
2020-03,1,4
2020-03,2,5
2020-03,3,8
2020-03,4,3
2020-03,5,3
2020-03,6,8
2020-03,7,7
2020-03,8,6
2020-03,9,6
2020-03,10,4
2020-03,11,6
2020-03,12,5
2020-03,13,4
2020-03,14,7
2020-03,15,6
2020-03,16,7
2020-03,17,7
2020-03,18,7
2020-03,19,3
2020-03,20,7
2020-03,21,9
2020-03,22,2
2020-03,23,2
2020-03,24,4
2020-03,25,3
2020-03,26,3
2020-03,27,4
2020-03,28,8
2020-03,29,5
2020-03,30,3
2020-03,31,4
2020-03,32,3
2020-03,33,7
2020-03,34,10
2020-03,35,3
2020-03,36,10
2020-03,37,5
2020-03,38,4
2020-03,39,9
2020-03,40,5
2020-03,41,4
2020-03,42,6
2020-03,43,6
2020-03,44,1
2020-03,45,5
2020-03,46,5
2020-03,47,3
2020-03,48,9
2020-03,49,7
2020-03,50,1
2020-03,51,1
2020-03,52,5
2020-03,53,6
2020-03,54,4
2020-03,55,5
2020-03,56,7
2020-03,57,3
2020-03,58,6
2020-03,59,7
2020-03,61,6
2020-04,0,200
2020-04,1,3
2020-04,2,12
2020-04,3,5
2020-04,4,6
2020-04,5,2
2020-04,6,5
2020-04,7,8
2020-04,8,6
2020-04,9,8
2020-04,10,3
2020-04,11,5
2020-04,12,5
2020-04,13,7
2020-04,14,8
2020-04,15,4
2020-04,16,3
2020-04,17,3
2020-04,18,5
2020-04,19,8
2020-04,20,5
2020-04,21,6
2020-04,22,6
2020-04,23,4
2020-04,24,4
2020-04,25,5
2020-04,26,5
2020-04,27,4
2020-04,28,4
2020-04,29,1
2020-04,30,5
2020-04,31,5
2020-04,32,3
2020-04,33,1
2020-04,34,4
2020-04,35,4
2020-04,36,3
2020-04,37,1
2020-04,38,6
2020-04,39,3
2020-04,40,3
2020-04,41,8
2020-04,42,5
2020-04,43,8
2020-04,44,9
2020-04,45,8
2020-04,46,4
2020-04,47,7
2020-04,48,6
2020-04,49,5
2020-04,50,6
2020-04,51,3
2020-04,52,3
2020-04,53,7
2020-04,54,3
2020-04,55,8
2020-04,56,4
2020-04,57,6
2020-04,59,8
2020-04,60,1
2020-05,0,209
2020-05,1,6
2020-05,2,9
2020-05,3,1
2020-05,4,9
2020-05,5,8
2020-05,6,4
2020-05,7,8
2020-05,8,8
2020-05,9,2
2020-05,10,5
2020-05,11,6
2020-05,12,5
2020-05,13,4
2020-05,14,5
2020-05,15,8
2020-05,16,5
2020-05,17,4
2020-05,18,5
2020-05,19,4
2020-05,20,4
2020-05,21,4
2020-05,22,8
2020-05,23,2
2020-05,24,3
2020-05,25,7
2020-05,26,8
2020-05,27,7
2020-05,28,4
2020-05,29,6
2020-05,30,4
2020-05,31,7
2020-05,32,7
2020-05,33,5
2020-05,34,9
2020-05,35,4
2020-05,36,6
2020-05,37,10
2020-05,38,7
2020-05,39,2
2020-05,40,4
2020-05,41,4
2020-05,42,2
2020-05,43,6
2020-05,44,2
2020-05,45,9
2020-05,46,2
2020-05,47,3
2020-05,48,9
2020-05,49,8
2020-05,50,6
2020-05,51,4
2020-05,52,2
2020-05,53,5
2020-05,54,6
2020-05,55,5
2020-05,56,7
2020-05,57,2
2020-05,58,8
2020-05,59,3
2020-06,0,208
2020-06,1,8
2020-06,2,7
2020-06,3,6
2020-06,4,4
2020-06,5,5
2020-06,6,8
2020-06,7,6
2020-06,8,5
2020-06,9,6
2020-06,10,8
2020-06,11,3
2020-06,13,8
2020-06,14,7
2020-06,15,5
2020-06,16,5
2020-06,17,4
2020-06,18,5
2020-06,19,4
2020-06,20,4
2020-06,21,1
2020-06,22,5
2020-06,23,4
2020-06,24,7
2020-06,25,3
2020-06,26,6
2020-06,27,5
2020-06,28,8
2020-06,29,3
2020-06,30,9
2020-06,31,4
2020-06,32,5
2020-06,33,12
2020-06,34,9
2020-06,35,6
2020-06,36,3
2020-06,37,1
2020-06,38,7
2020-06,39,4
2020-06,40,7
2020-06,41,4
2020-06,42,3
2020-06,43,8
2020-06,44,7
2020-06,45,7
2020-06,46,5
2020-06,47,9
2020-06,48,7
2020-06,49,4
2020-06,50,3
2020-06,51,5
2020-06,52,9
2020-06,53,5
2020-06,54,4
2020-06,55,3
2020-06,56,8
2020-06,57,6
2020-06,58,2
2020-07,0,206
2020-07,1,9
2020-07,2,2
2020-07,3,3
2020-07,4,2
2020-07,5,6
2020-07,6,7
2020-07,7,5
2020-07,8,5
2020-07,9,5
2020-07,10,11
2020-07,11,3
2020-07,12,4
2020-07,13,6
2020-07,14,6
2020-07,15,7
2020-07,16,5
2020-07,17,6
2020-07,18,6
2020-07,19,4
2020-07,20,4
2020-07,21,5
2020-07,22,6
2020-07,23,6
2020-07,24,8
2020-07,25,2
2020-07,26,9
2020-07,27,4
2020-07,28,3
2020-07,29,7
2020-07,30,7
2020-07,31,1
2020-07,32,3
2020-07,33,3
2020-07,34,7
2020-07,35,6
2020-07,36,8
2020-07,37,8
2020-07,38,8
2020-07,39,4
2020-07,40,2
2020-07,41,4
2020-07,42,4
2020-07,43,8
2020-07,44,4
2020-07,45,7
2020-07,46,5
2020-07,47,2
2020-07,48,9
2020-07,49,2
2020-07,50,4
2020-07,51,5
2020-07,52,6
2020-07,53,8
2020-07,54,5
2020-07,55,3
2020-07,56,8
2020-08,0,190
2020-08,1,4
2020-08,2,3
2020-08,3,5
2020-08,4,8
2020-08,5,13
2020-08,6,6
2020-08,7,3
2020-08,8,6
2020-08,9,3
2020-08,10,6
2020-08,11,3
2020-08,12,3
2020-08,13,9
2020-08,14,4
2020-08,15,6
2020-08,16,2
2020-08,17,6
2020-08,18,3
2020-08,19,3
2020-08,20,2
2020-08,21,3
2020-08,22,8
2020-08,23,6
2020-08,24,3
2020-08,25,4
2020-08,26,4
2020-08,27,2
2020-08,28,4
2020-08,29,3
2020-08,30,6
2020-08,31,1
2020-08,32,3
2020-08,33,5
2020-08,34,2
2020-08,35,2
2020-08,36,6
2020-08,37,7
2020-08,38,10
2020-08,39,4
2020-08,40,3
2020-08,41,8
2020-08,42,5
2020-08,43,4
2020-08,44,6
2020-08,45,3
2020-08,46,3
2020-08,47,5
2020-08,48,4
2020-08,49,2
2020-08,50,8
2020-08,51,4
2020-08,52,3
2020-08,53,4
2020-08,54,8
2020-08,55,8
2020-08,56,3
2020-09,0,162
2020-09,1,3
2020-09,2,6
2020-09,3,2
2020-09,4,5
2020-09,5,5
2020-09,6,3
2020-09,7,5
2020-09,8,3
2020-09,9,4
2020-09,10,2
2020-09,11,7
2020-09,12,4
2020-09,13,2
2020-09,14,7
2020-09,15,5
2020-09,16,7
2020-09,17,2
2020-09,18,9
2020-09,19,4
2020-09,20,2
2020-09,21,6
2020-09,22,5
2020-09,23,4
2020-09,24,3
2020-09,25,9
2020-09,26,5
2020-09,27,4
2020-09,28,6
2020-09,29,3
2020-09,30,5
2020-09,31,2
2020-09,32,5
2020-09,33,9
2020-09,34,5
2020-09,35,6
2020-09,36,4
2020-09,37,5
2020-09,38,5
2020-09,39,5
2020-09,40,5
2020-09,41,3
2020-09,42,4
2020-09,43,3
2020-09,44,7
2020-09,45,5
2020-09,46,3
2020-09,47,3
2020-09,48,3
2020-09,49,4
2020-09,50,1
2020-09,51,3
2020-09,52,5
2020-09,53,3
2020-09,54,1
2020-09,55,3
2020-10,0,179
2020-10,1,2
2020-10,2,4
2020-10,3,6
2020-10,4,7
2020-10,5,7
2020-10,6,4
2020-10,7,3
2020-10,8,4
2020-10,9,3
2020-10,10,5
2020-10,11,1
2020-10,12,8
2020-10,13,5
2020-10,14,7
2020-10,15,4
2020-10,16,6
2020-10,17,4
2020-10,18,5
2020-10,19,2
2020-10,20,8
2020-10,21,1
2020-10,22,3
2020-10,23,2
2020-10,24,5
2020-10,25,3
2020-10,26,7
2020-10,27,10
2020-10,28,2
2020-10,29,7
2020-10,30,2
2020-10,31,8
2020-10,32,4
2020-10,33,2
2020-10,34,2
2020-10,35,1
2020-10,36,7
2020-10,37,3
2020-10,38,3
2020-10,39,4
2020-10,40,5
2020-10,41,3
2020-10,42,6
2020-10,43,3
2020-10,44,7
2020-10,45,4
2020-10,46,1
2020-10,47,1
2020-10,48,1
2020-10,50,5
2020-10,51,5
2020-10,52,5
2020-10,53,8
2020-11,0,174
2020-11,1,1
2020-11,2,3
2020-11,3,6
2020-11,4,4
2020-11,5,8
2020-11,6,2
2020-11,7,8
2020-11,8,5
2020-11,9,10
2020-11,10,5
2020-11,11,5
2020-11,12,6
2020-11,13,6
2020-11,14,2
2020-11,15,4
2020-11,16,6
2020-11,17,5
2020-11,18,6
2020-11,19,7
2020-11,20,7
2020-11,21,4
2020-11,22,6
2020-11,23,6
2020-11,24,5
2020-11,25,5
2020-11,26,3
2020-11,27,4
2020-11,28,5
2020-11,29,4
2020-11,30,2
2020-11,31,8
2020-11,32,3
2020-11,33,5
2020-11,34,4
2020-11,35,5
2020-11,36,6
2020-11,37,9
2020-11,38,6
2020-11,39,5
2020-11,40,4
2020-11,41,6
2020-11,42,1
2020-11,43,4
2020-11,44,3
2020-11,45,2
2020-11,46,1
2020-11,47,5
2020-11,48,1
2020-11,49,3
2020-11,50,5
2020-11,51,3
2020-11,52,7
2020-12,0,198
2020-12,1,6
2020-12,2,6
2020-12,3,6
2020-12,4,5
2020-12,5,7
2020-12,6,7
2020-12,7,4
2020-12,8,6
2020-12,9,1
2020-12,10,9
2020-12,11,5
2020-12,12,3
2020-12,13,2
2020-12,14,8
2020-12,15,6
2020-12,16,7
2020-12,17,5
2020-12,18,4
2020-12,19,4
2020-12,20,4
2020-12,21,2
2020-12,22,4
2020-12,23,4
2020-12,24,4
2020-12,25,6
2020-12,26,5
2020-12,27,7
2020-12,28,3
2020-12,29,7
2020-12,30,3
2020-12,31,3
2020-12,32,4
2020-12,33,8
2020-12,34,9
2020-12,35,5
2020-12,36,5
2020-12,37,8
2020-12,38,6
2020-12,39,5
2020-12,40,5
2020-12,41,8
2020-12,42,2
2020-12,43,6
2020-12,44,4
2020-12,45,3
2020-12,46,4
2020-12,48,4
2020-12,49,5
2020-12,50,2
2020-12,51,8
2020-12,52,4
2021-01,0,164
2021-01,1,5
2021-01,2,7
2021-01,3,7
2021-01,4,2
2021-01,5,1
2021-01,6,4
2021-01,7,7
2021-01,8,5
2021-01,9,8
2021-01,10,7
2021-01,11,4
2021-01,12,3
2021-01,13,3
2021-01,14,5
2021-01,15,5
2021-01,16,3
2021-01,17,2
2021-01,18,3
2021-01,19,7
2021-01,20,7
2021-01,21,2
2021-01,22,7
2021-01,23,3
2021-01,24,4
2021-01,25,6
2021-01,26,1
2021-01,27,3
2021-01,28,4
2021-01,29,5
2021-01,30,6
2021-01,31,7
2021-01,32,9
2021-01,33,2
2021-01,34,5
2021-01,35,3
2021-01,36,2
2021-01,37,3
2021-01,38,4
2021-01,39,6
2021-01,40,6
2021-01,41,6
2021-01,42,2
2021-01,43,5
2021-01,44,4
2021-01,45,3
2021-01,46,6
2021-01,47,3
2021-01,48,3
2021-01,49,2
2021-01,50,4
2021-01,51,2
2021-02,0,142
2021-02,1,2
2021-02,2,2
2021-02,3,4
2021-02,4,3
